datatime,external_event
2020-03-27 20:07:20,B
2020-03-27 20:07:21,B
2020-03-28 18:44:37,B
2020-03-28 18:44:38,B
2020-03-28 18:44:39,B
2020-03-28 18:44:40,B
2020-03-28 18:44:41,B
2020-03-28 18:44:42,B
2020-03-28 18:44:43,B
2020-03-28 18:44:44,B
2020-03-28 18:44:45,B
2020-03-28 18:44:46,B
2020-03-28 18:44:47,B
2020-03-28 18:44:48,B
2020-03-28 18:44:49,B
2020-03-28 18:44:50,B
2020-03-28 18:44:51,B
2020-03-28 18:44:52,B
2020-03-21 20:56:38,B
2020-03-21 20:56:39,B
2020-03-21 20:56:40,B
2020-03-21 20:56:41,B
2020-03-21 20:56:42,B
2020-03-21 20:56:43,B
2020-03-21 20:56:44,B
2020-03-21 20:56:45,B
2020-03-21 20:56:46,B
2020-03-21 20:56:47,B
2020-03-21 20:56:48,B
2020-03-21 20:56:49,B
2020-03-21 20:56:50,B
2020-03-21 20:56:51,B
2020-03-21 20:56:52,B
2020-03-21 20:56:53,B
2020-03-24 21:07:57,B
2020-03-24 21:07:58,B
2020-03-24 21:07:59,B
2020-03-24 21:08:00,B
2020-03-24 21:08:01,B
2020-03-24 21:08:02,B
2020-03-24 21:08:03,B
2020-03-24 21:08:04,B
2020-03-24 21:08:05,B
2020-03-24 21:08:06,B
2020-03-24 21:08:07,B
2020-03-24 21:08:08,B
2020-03-24 21:08:09,B
2020-03-24 21:08:10,B
2020-03-24 21:08:11,B
2020-03-24 21:08:12,B
2020-03-24 22:53:17,B
2020-03-24 22:53:18,B
2020-03-24 22:53:19,B
2020-03-24 22:53:20,B
2020-03-24 22:53:21,B
2020-03-24 22:53:22,B
2020-03-24 22:53:23,B
2020-03-24 22:53:24,B
2020-03-24 22:53:25,B
2020-03-24 22:53:26,B
2020-03-24 22:53:27,B
2020-03-24 22:53:28,B
2020-03-24 22:53:29,B
2020-03-24 22:53:30,B
2020-03-24 22:53:31,B
2020-03-24 22:53:32,B
2020-03-31 20:22:03,B
2020-03-31 20:22:04,B
2020-03-31 20:22:05,B
2020-03-31 20:22:06,B
2020-03-31 20:22:07,B
2020-03-31 20:22:08,B
2020-03-31 20:22:09,B
2020-03-31 20:22:10,B
2020-03-31 20:22:11,B
2020-03-31 20:22:12,B
2020-03-31 20:22:13,B
2020-03-31 20:22:14,B
2020-03-31 20:22:15,B
2020-03-31 20:22:16,B
2020-03-31 20:22:17,B
2020-03-31 20:22:18,B
2020-03-29 19:09:02,B
2020-03-29 19:09:03,B
2020-03-29 19:09:04,B
2020-03-29 19:09:05,B
2020-03-29 19:09:06,B
2020-03-29 19:09:07,B
2020-03-29 19:09:08,B
2020-03-29 19:09:09,B
2020-03-29 19:09:10,B
2020-03-29 19:09:11,B
2020-03-29 19:09:12,B
2020-03-29 19:09:13,B
2020-03-29 19:09:14,B
2020-03-29 19:09:15,B
2020-03-29 19:09:16,B
2020-03-29 19:09:17,B
2020-03-30 21:01:21,B
2020-03-30 21:01:22,B
2020-03-30 21:01:23,B
2020-03-30 21:01:24,B
2020-03-30 21:01:25,B
2020-03-30 21:01:26,B
2020-03-30 21:01:27,B
2020-03-30 21:01:28,B
2020-03-30 21:01:29,B
2020-03-30 21:01:30,B
2020-03-30 21:01:31,B
2020-03-30 21:01:32,B
2020-03-30 21:01:33,B
2020-03-30 21:01:34,B
2020-03-30 21:01:35,B
2020-03-30 21:01:36,B
2020-03-29 20:54:28,B
2020-03-29 20:54:29,B
2020-03-29 20:54:30,B
2020-03-29 20:54:31,B
2020-03-29 20:54:32,B
2020-03-29 20:54:33,B
2020-03-29 20:54:34,B
2020-03-29 20:54:35,B
2020-03-29 20:54:36,B
2020-03-29 20:54:37,B
2020-03-29 20:54:38,B
2020-03-29 20:54:39,B
2020-03-29 20:54:40,B
2020-03-29 20:54:41,B
2020-03-29 20:54:42,B
2020-03-29 20:54:43,B
2020-04-02 21:51:33,B
2020-04-02 21:51:34,B
2020-04-02 21:51:35,B
2020-04-02 21:51:36,B
2020-04-02 21:51:37,B
2020-04-02 21:51:38,B
2020-04-02 21:51:39,B
2020-04-02 21:51:40,B
2020-04-02 21:51:41,B
2020-04-02 21:51:42,B
2020-04-02 21:51:43,B
2020-04-02 21:51:44,B
2020-04-02 21:51:45,B
2020-04-02 21:51:46,B
2020-04-02 21:51:47,B
2020-04-02 21:51:48,B
2020-03-28 21:44:18,B
2020-03-28 21:44:19,B
2020-03-28 21:44:20,B
2020-03-28 21:44:21,B
2020-03-28 21:44:22,B
2020-03-28 21:44:23,B
2020-03-28 21:44:24,B
2020-03-28 21:44:25,B
2020-03-28 21:44:26,B
2020-03-28 21:44:27,B
2020-03-28 21:44:28,B
2020-03-28 21:44:29,B
2020-03-28 21:44:30,B
2020-03-28 21:44:31,B
2020-03-28 21:44:32,B
2020-03-28 21:44:33,B
2020-03-30 20:31:55,B
2020-03-30 20:31:56,B
2020-03-30 20:31:57,B
2020-03-30 20:31:58,B
2020-03-30 20:31:59,B
2020-03-30 20:32:00,B
2020-03-30 20:32:01,B
2020-03-30 20:32:02,B
2020-03-30 20:32:03,B
2020-03-30 20:32:04,B
2020-03-30 20:32:05,B
2020-03-30 20:32:06,B
2020-03-30 20:32:07,B
2020-03-30 20:32:08,B
2020-03-30 20:32:09,B
2020-03-30 20:32:10,B
2020-03-27 20:30:14,B
2020-03-27 20:30:15,B
2020-03-27 20:30:16,B
2020-03-27 20:30:17,B
2020-03-27 20:30:18,B
2020-03-27 20:30:19,B
2020-03-27 20:30:20,B
2020-03-27 20:30:21,B
2020-03-27 20:30:22,B
2020-03-27 20:30:23,B
2020-03-27 20:30:24,B
2020-03-27 20:30:25,B
2020-03-27 20:30:26,B
2020-03-27 20:30:27,B
2020-03-27 20:30:28,B
2020-03-27 20:30:29,B
2020-03-25 19:26:14,B
2020-03-25 19:26:15,B
2020-03-25 19:26:16,B
2020-03-25 19:26:17,B
2020-03-25 19:26:18,B
2020-03-25 19:26:19,B
2020-03-25 19:26:20,B
2020-03-25 19:26:21,B
2020-03-25 19:26:22,B
2020-03-25 19:26:23,B
2020-03-25 19:26:24,B
2020-03-25 19:26:25,B
2020-03-25 19:26:26,B
2020-03-25 19:26:27,B
2020-03-25 19:26:28,B
2020-03-25 19:26:29,B
2020-04-02 21:11:01,B
